key,bib_title,doi,declared_url,status,registry,registry_title,title_similarity
polese2023understanding,"Understanding {O-RAN}: Architecture, Interfaces, Algorithms, Security, and Research Challenges",10.1109/COMST.2023.3239220,https://doi.org/10.1109/COMST.2023.3239220,VERIFIED,Crossref,"Understanding O-RAN: Architecture, Interfaces, Algorithms, Security, and Research Challenges",1.0
alam2026survey,"A Comprehensive Tutorial and Survey of {O-RAN}: Exploring Slicing-Aware Architecture, Deployment Options, Use Cases, and Challenges",10.1109/COMST.2025.3598406,https://doi.org/10.1109/COMST.2025.3598406,VERIFIED,Crossref,"A Comprehensive Tutorial and Survey of O-RAN: Exploring Slicing-Aware Architecture, Deployment Options, Use Cases, and Challenges",1.0
wang2026oran6g,The {O-RAN} Evolution Path Toward {6G} {AI}-Native {RAN},10.1109/MCOMSTD.2026.3671966,https://doi.org/10.1109/MCOMSTD.2026.3671966,VERIFIED,Crossref,The O-RAN Evolution Path Toward 6G AI-Native RAN,1.0
alkarawi2026nativeai,"Digital Twin and Native-{AI} Empowered {6G} Networks: Architectures, Applications, Evaluation, and Open Challenges",10.1109/SmartIndustryCon68821.2026.11493034,https://doi.org/10.1109/SmartIndustryCon68821.2026.11493034,VERIFIED,Crossref,"Digital Twin and Native-AI Empowered 6G Networks: Architectures, Applications, Evaluation, and Open Challenges",1.0
alkarawi2025offgrid,Energy-Aware Optimisation for Off-Grid {ORAN} With {RIS} and Edge Computing,10.1049/ntw2.70012,https://doi.org/10.1049/ntw2.70012,VERIFIED,Crossref,Energy‐Aware Optimisation for Off‐Grid ORAN With RIS and Edge Computing,1.0
alkarawi2026cqdt,Cybersecurity Driven Quantum Digital Twin for Proactive Threat Reversal in Open {RAN},10.1049/qtc2.70027,https://doi.org/10.1049/qtc2.70027,VERIFIED,Crossref,Cybersecurity Driven Quantum Digital Twin for Proactive Threat Reversal in Open RAN,1.0
garcia2021oran,{O-RAN}: Disrupting the Virtualized {RAN} Ecosystem,10.1109/MCOMSTD.101.2000014,https://doi.org/10.1109/MCOMSTD.101.2000014,VERIFIED,Crossref,O-RAN: Disrupting the Virtualized RAN Ecosystem,1.0
bonati2021intelligence,Intelligence and Learning in {O-RAN} for Data-Driven {NextG} Cellular Networks,10.1109/MCOM.101.2001120,https://doi.org/10.1109/MCOM.101.2001120,VERIFIED,Crossref,Intelligence and Learning in O-RAN for Data-Driven NextG Cellular Networks,1.0
niknam2022intelligent,Intelligent {O-RAN} for Beyond {5G} and {6G} Wireless Networks,10.1109/GCWkshps56602.2022.10008676,https://doi.org/10.1109/GCWkshps56602.2022.10008676,VERIFIED,Crossref,Intelligent O-RAN for Beyond 5G and 6G Wireless Networks,1.0
polese2023coloran,{ColO-RAN}: Developing Machine Learning-Based {xApps} for Open {RAN} Closed-Loop Control on Programmable Experimental Platforms,10.1109/TMC.2022.3188013,https://doi.org/10.1109/TMC.2022.3188013,VERIFIED,Crossref,ColO-RAN: Developing Machine Learning-Based xApps for Open RAN Closed-Loop Control on Programmable Experimental Platforms,1.0
